scale,spec,regressor,coef,se,t,p,r2_within,r2_between,r2_overall,n_obs
score_60,A_growth_fdi,GDP_growth_pct,-0.005104082261570977,0.009771494696247298,-0.52234406508261,0.6014707735929612,-0.0010785348800705918,-0.0027780863224478036,-0.0025338272019768127,3066
score_60,A_growth_fdi,FDI_pct_GDP,-0.0013380419926251363,0.0008593450302766215,-1.5570486189865125,0.11956828580987255,-0.0010785348800705918,-0.0027780863224478036,-0.0025338272019768127,3066
score_60,B_loggdppc,log_GDPpc,22.567640240940396,2.596294685319406,8.692249138184419,0.0,-0.3392630319393888,-1.3881132996938597,-1.0794378191174645,3137
score_60,C_growth_loggdppc,GDP_growth_pct,-0.04075712828228166,0.011259499605929674,-3.6197992547392985,0.00029976783776253235,-0.3918646270663344,-1.5818579302471423,-1.2529946089926143,3136
score_60,C_growth_loggdppc,log_GDPpc,23.213568685049587,2.6977523578335525,8.604781168161555,0.0,-0.3918646270663344,-1.5818579302471423,-1.2529946089926143,3136
score_60,D_full,GDP_growth_pct,-0.04048158104708573,0.011326437456731914,-3.5740788930084397,0.0003572067275368074,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_60,D_full,FDI_pct_GDP,-0.0014132991490075865,0.0006904231092613876,-2.047004409396912,0.04074781482821832,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_60,D_full,log_GDPpc,23.252120933271357,2.7296481275541646,8.518358354893845,0.0,-0.3699959127076029,-1.6096089900216182,-1.2726039520910306,3066
score_21,A_growth_fdi,GDP_growth_pct,-0.0005451434221528001,0.003456445375052929,-0.15771793359947206,0.8746900714410644,-0.0005073770998773597,-0.0015642212044928439,-0.0013876397106493688,3066
score_21,A_growth_fdi,FDI_pct_GDP,-0.000457125897795198,0.00031854363489601105,-1.435049543351972,0.1513810389124064,-0.0005073770998773597,-0.0015642212044928439,-0.0013876397106493688,3066
score_21,B_loggdppc,log_GDPpc,7.511528433091206,0.8804101820476712,8.531850932960339,0.0,-0.32463146326125014,-0.8985750359105529,-0.6662474440826966,3137
score_21,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453922,0.003922016630868954,-3.163119036725073,0.0015766840751512134,-0.3710031712728836,-1.0469674839411707,-0.8000984895065248,3136
score_21,C_growth_loggdppc,log_GDPpc,7.709188052670206,0.9146989487011823,8.428115134074213,0.0,-0.3710031712728836,-1.0469674839411707,-0.8000984895065248,3136
score_21,D_full,GDP_growth_pct,-0.012293612969305165,0.0039448858196360626,-3.1163418997103745,0.0018490611610280094,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_21,D_full,FDI_pct_GDP,-0.00048211795320660306,0.0002563554325347607,-1.880662127732479,0.060118265626879275,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_21,D_full,log_GDPpc,7.721767905284878,0.9251456068998059,8.346543341605202,2.220446049250313e-16,-0.3490682402738181,-1.0691411086193732,-0.8156991922987646,3066
score_20,A_growth_fdi,GDP_growth_pct,-0.0005451434221527974,0.00345644537505293,-0.15771793359947123,0.8746900714410653,-0.0005073770998773597,-0.0016852122804207337,-0.0014851916946023724,3066
score_20,A_growth_fdi,FDI_pct_GDP,-0.00045712589779519817,0.0003185436348960111,-1.4350495433519723,0.1513810389124064,-0.0005073770998773597,-0.0016852122804207337,-0.0014851916946023724,3066
score_20,B_loggdppc,log_GDPpc,7.511528433091206,0.8804101820476712,8.531850932960339,0.0,-0.32463146326125036,-1.4514349242509623,-1.1341258618145882,3137
score_20,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453923,0.003922016630868954,-3.1631190367250737,0.0015766840751512134,-0.3710031712728836,-1.6328937575190658,-1.2966028949334256,3136
score_20,C_growth_loggdppc,log_GDPpc,7.709188052670206,0.9146989487011823,8.428115134074213,0.0,-0.3710031712728836,-1.6328937575190658,-1.2966028949334256,3136
score_20,D_full,GDP_growth_pct,-0.012293612969305161,0.0039448858196360626,-3.1163418997103736,0.0018490611610280094,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_20,D_full,FDI_pct_GDP,-0.0004821179532066033,0.0002563554325347608,-1.880662127732479,0.060118265626879275,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_20,D_full,log_GDPpc,7.721767905284878,0.9251456068998057,8.346543341605203,2.220446049250313e-16,-0.3490682402738181,-1.6629079723424627,-1.3181348899727259,3066
score_17,A_growth_fdi,GDP_growth_pct,-0.002219221760481219,0.0032506391475051774,-0.6827032038251439,0.4948490479730496,-0.0013298045794938318,-0.003942883098725369,-0.0035796364186699847,3066
score_17,A_growth_fdi,FDI_pct_GDP,-0.0004156119946549868,0.0003024936926905883,-1.3739525970219282,0.16956280277346814,-0.0013298045794938318,-0.003942883098725369,-0.0035796364186699847,3066
score_17,B_loggdppc,log_GDPpc,6.832844777251332,0.9361048073616403,7.29923051726369,3.6992631180510216e-13,-0.28800347857074016,-3.117670944179075,-2.478771495590029,3137
score_17,C_growth_loggdppc,GDP_growth_pct,-0.012922972089530643,0.0037961529680797922,-3.4042284908417346,0.000672335031722815,-0.33798233453429627,-3.4270714972448095,-2.748722767064145,3136
score_17,C_growth_loggdppc,log_GDPpc,7.037157602945158,0.9759313351502497,7.21070975947478,7.034373084024992e-13,-0.33798233453429627,-3.4270714972448095,-2.748722767064145,3136
score_17,D_full,GDP_growth_pct,-0.012896709305602926,0.0038180533180854517,-3.3778232599616844,0.000740282980940421,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_17,D_full,FDI_pct_GDP,-0.00043832579233827316,0.00024617693967562797,-1.7805314864821529,0.07509393599948111,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_17,D_full,log_GDPpc,7.017857117822135,0.9832093395838796,7.137703879819002,1.1948220191015935e-12,-0.314879540844877,-3.4371495295016503,-2.7492865417842536,3066
score_16,A_growth_fdi,GDP_growth_pct,-0.003454645776638775,0.0029715426300175153,-1.1625765492108764,0.2450972084528502,-0.0021234239681884315,-0.005616510654604667,-0.0051704031295527475,3066
score_16,A_growth_fdi,FDI_pct_GDP,-0.00039033804268663006,0.00029159474808591277,-1.3386319378139981,0.1807956702997513,-0.0021234239681884315,-0.005616510654604667,-0.0051704031295527475,3066
score_16,B_loggdppc,log_GDPpc,6.349784799950195,0.9594741451627661,6.6179842697824975,4.305178435970447e-11,-0.2570769229058676,-3.44199062526014,-2.7118580329545634,3137
score_16,C_growth_loggdppc,GDP_growth_pct,-0.013419925327407102,0.0036049557681044754,-3.7226324511780193,0.0002008256750258841,-0.30966999752199476,-3.8042831212932677,-3.0250765221968487,3136
score_16,C_growth_loggdppc,log_GDPpc,6.560845816530092,0.9985732576284196,6.570219827548653,5.913158851456046e-11,-0.30966999752199476,-3.8042831212932677,-3.0250765221968487,3136
score_16,D_full,GDP_growth_pct,-0.013393417808375805,0.0036192847116843945,-3.7005703820804374,0.00021912380667310494,-0.28587628512794905,-3.806569482233175,-3.0178356342562678,3066
score_16,D_full,FDI_pct_GDP,-0.00041148040002445885,0.00023982008614899445,-1.715787891798254,0.08630793804587755,-0.28587628512794905,-3.806569482233175,-3.0178356342562678,3066
score_16,D_full,log_GDPpc,6.532330920601628,1.0047609121902639,6.5013784287864995,9.340417328473904e-11,-0.28587628512794905,-3.806569482233175,-3.0178356342562678,3066
score_basu60,A_growth_fdi,GDP_growth_pct,0.005104082261570972,0.009771494696247298,0.5223440650826094,0.6014707735929616,-0.0010785348800708139,0.002338999763738747,0.0024709549867536484,3066
score_basu60,A_growth_fdi,FDI_pct_GDP,0.0013380419926251363,0.000859345030276621,1.5570486189865134,0.11956828580987233,-0.0010785348800708139,0.002338999763738747,0.0024709549867536484,3066
score_basu60,B_loggdppc,log_GDPpc,-22.567640240940406,2.5962946853194064,-8.692249138184422,0.0,-0.3392630319393899,-11.78424430125348,-13.277283504613703,3137
score_basu60,C_growth_loggdppc,GDP_growth_pct,0.040757128282281646,0.011259499605929677,3.6197992547392963,0.00029976783776253235,-0.3918646270663342,-12.2788097400247,-13.839686141401192,3136
score_basu60,C_growth_loggdppc,log_GDPpc,-23.213568685049584,2.697752357833552,-8.604781168161557,0.0,-0.3918646270663342,-12.2788097400247,-13.839686141401192,3136
score_basu60,D_full,GDP_growth_pct,0.04048158104708572,0.011326437456731913,3.5740788930084397,0.0003572067275368074,-0.3699959127076029,-12.306889460796814,-13.81618590599198,3066
score_basu60,D_full,FDI_pct_GDP,0.0014132991490075865,0.0006904231092613875,2.0470044093969126,0.04074781482821832,-0.3699959127076029,-12.306889460796814,-13.81618590599198,3066
score_basu60,D_full,log_GDPpc,-23.252120933271357,2.7296481275541646,-8.518358354893845,0.0,-0.3699959127076029,-12.306889460796814,-13.81618590599198,3066
score_norm01,A_growth_fdi,GDP_growth_pct,-8.506803769284973e-05,0.00016285824493745494,-0.5223440650826108,0.6014707735929608,-0.0010785348800705918,-0.0027780863224473595,-0.0025338272019770347,3066
score_norm01,A_growth_fdi,FDI_pct_GDP,-2.2300699877085597e-05,1.4322417171277016e-05,-1.557048618986513,0.11956828580987255,-0.0010785348800705918,-0.0027780863224473595,-0.0025338272019770347,3066
score_norm01,B_loggdppc,log_GDPpc,0.3761273373490068,0.043271578088656774,8.692249138184422,0.0,-0.33926303193939034,-1.3881132996938623,-1.0794378191174667,3137
score_norm01,C_growth_loggdppc,GDP_growth_pct,-0.0006792854713713606,0.00018765832676549454,-3.619799254739297,0.00029976783776253235,-0.39186462706633396,-1.5818579302471374,-1.2529946089926098,3136
score_norm01,C_growth_loggdppc,log_GDPpc,0.38689281141749293,0.04496253929722586,8.604781168161555,0.0,-0.39186462706633396,-1.5818579302471374,-1.2529946089926098,3136
score_norm01,D_full,GDP_growth_pct,-0.0006746930174514288,0.00018877395761219857,-3.57407889300844,0.0003572067275368074,-0.36999591270760357,-1.6096089900216173,-1.272603952091031,3066
score_norm01,D_full,FDI_pct_GDP,-2.35549858167931e-05,1.1507051821023118e-05,-2.047004409396913,0.04074781482821832,-0.36999591270760357,-1.6096089900216173,-1.272603952091031,3066
score_norm01,D_full,log_GDPpc,0.38753534888785596,0.04549413545923607,8.518358354893845,0.0,-0.36999591270760357,-1.6096089900216173,-1.272603952091031,3066
score_logPD,A_growth_fdi,GDP_growth_pct,-0.0014096604162515327,0.0019332243880346017,-0.7291757878580528,0.46595314640928387,-0.00131024952101777,-0.0037254003877482678,-0.0033885648072156105,3066
score_logPD,A_growth_fdi,FDI_pct_GDP,-0.0002780585487375208,0.00020616083045462135,-1.3487457735029111,0.1775241662691318,-0.00131024952101777,-0.0037254003877482678,-0.0033885648072156105,3066
score_logPD,B_loggdppc,log_GDPpc,4.4690690949391945,0.5817424920772979,7.682211899256236,2.1094237467877974e-14,-0.2793049755696404,-2.3019648473769405,-1.8238738636116323,3137
score_logPD,C_growth_loggdppc,GDP_growth_pct,-0.00851116225408287,0.002276140575959763,-3.7392955180257412,0.00018802963732955646,-0.33045303951701643,-2.563268111901334,-2.054217302438438,3136
score_logPD,C_growth_loggdppc,log_GDPpc,4.603593251271326,0.6039268813841996,7.6227659227883615,3.3084646133829665e-14,-0.33045303951701643,-2.563268111901334,-2.054217302438438,3136
score_logPD,D_full,GDP_growth_pct,-0.008396707671779186,0.002281169404557384,-3.6808786120855417,0.00023667622761114337,-0.3061467412295773,-2.5724435356371766,-2.055318041396649,3066
score_logPD,D_full,FDI_pct_GDP,-0.0002929218184997153,0.00017036555645367623,-1.7193722991734137,0.0856535680259034,-0.3061467412295773,-2.5724435356371766,-2.055318041396649,3066
score_logPD,D_full,log_GDPpc,4.592288130288373,0.6083584920604256,7.548654601228516,5.861977570020827e-14,-0.3061467412295773,-2.5724435356371766,-2.055318041396649,3066
